127.0.0.1 - - [27/Nov/2023:17:28:22 -0500] "GET / HTTP/1.1" 200 11435
0:0:0:0:0:0:0:1 - - [27/Nov/2023:18:17:44 -0500] "GET /sapphire_inventory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:18:17:46 -0500] "GET /sapphire_inventory/ HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [27/Nov/2023:18:17:46 -0500] "GET /sapphire_inventory/css/login.css HTTP/1.1" 200 3690
0:0:0:0:0:0:0:1 - - [27/Nov/2023:18:17:46 -0500] "GET /sapphire_inventory/css/styles.css HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [27/Nov/2023:18:17:46 -0500] "GET /sapphire_inventory/img/mainPicture.jpg HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [27/Nov/2023:18:18:41 -0500] "GET /sapphire_inventory/ HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [27/Nov/2023:18:18:41 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Nov/2023:18:18:55 -0500] "POST /sapphire_inventory/login_servlet HTTP/1.1" 200 3804
0:0:0:0:0:0:0:1 - - [27/Nov/2023:18:19:20 -0500] "GET /sapphire_inventory/mostrar_usuarios_servlet?usuarios=usuarios HTTP/1.1" 200 7114
0:0:0:0:0:0:0:1 - - [27/Nov/2023:18:24:48 -0500] "GET /sapphire_inventory/registro_usuario.jsp HTTP/1.1" 404 686
0:0:0:0:0:0:0:1 - - [27/Nov/2023:19:37:56 -0500] "GET /sapphire_inventory/registro_usuario.jsp HTTP/1.1" 404 686
0:0:0:0:0:0:0:1 - - [27/Nov/2023:19:37:57 -0500] "GET /sapphire_inventory/registro_usuario.jsp HTTP/1.1" 404 686
0:0:0:0:0:0:0:1 - - [27/Nov/2023:19:38:00 -0500] "GET /sapphire_inventory/mostrar_usuarios_servlet?usuarios=usuarios HTTP/1.1" 500 379
0:0:0:0:0:0:0:1 - - [27/Nov/2023:19:38:02 -0500] "GET /sapphire_inventory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:19:38:02 -0500] "GET /sapphire_inventory/ HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [27/Nov/2023:19:38:02 -0500] "GET /sapphire_inventory/img/mainPicture.jpg HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [27/Nov/2023:19:49:27 -0500] "POST /sapphire_inventory/login_servlet HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [27/Nov/2023:19:49:27 -0500] "GET /sapphire_inventory/img/mainPicture.jpg HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [27/Nov/2023:19:49:38 -0500] "POST /sapphire_inventory/login_servlet HTTP/1.1" 200 1641
