127.0.0.1 - - [17/Nov/2023:20:34:55 -0500] "GET / HTTP/1.1" 200 11435
0:0:0:0:0:0:0:1 - - [17/Nov/2023:20:35:43 -0500] "GET /sapphire_inventory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:20:35:45 -0500] "GET /sapphire_inventory/ HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [17/Nov/2023:20:35:49 -0500] "POST /sapphire_inventory/login_servlet HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [17/Nov/2023:20:35:52 -0500] "GET /sapphire_inventory/mostrar_usuarios_servlet?usuarios=usuarios HTTP/1.1" 500 3059
0:0:0:0:0:0:0:1 - - [17/Nov/2023:20:39:43 -0500] "GET /sapphire_inventory/mostrar_usuarios_servlet?usuarios=usuarios HTTP/1.1" 500 2801
0:0:0:0:0:0:0:1 - - [17/Nov/2023:20:39:45 -0500] "GET /sapphire_inventory/mostrar_usuarios_servlet?usuarios=usuarios HTTP/1.1" 500 3800
0:0:0:0:0:0:0:1 - - [17/Nov/2023:20:39:51 -0500] "GET /sapphire_inventory/mostrar_usuarios_servlet?usuarios=usuarios HTTP/1.1" 500 2801
0:0:0:0:0:0:0:1 - - [17/Nov/2023:20:54:56 -0500] "GET /sapphire_inventory/mostrar_usuarios_servlet?usuarios=usuarios HTTP/1.1" 500 2801
0:0:0:0:0:0:0:1 - - [17/Nov/2023:20:54:57 -0500] "GET /sapphire_inventory/mostrar_usuarios_servlet?usuarios=usuarios HTTP/1.1" 500 3800
0:0:0:0:0:0:0:1 - - [17/Nov/2023:20:55:07 -0500] "POST /sapphire_inventory/login_servlet HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [17/Nov/2023:20:55:08 -0500] "GET /sapphire_inventory/mostrar_usuarios_servlet?usuarios=usuarios HTTP/1.1" 500 2801
0:0:0:0:0:0:0:1 - - [17/Nov/2023:20:58:29 -0500] "GET /sapphire_inventory/ HTTP/1.1" 200 742
